2019-05-23 13:57:30.727 INFO  [main] [cn.aijson.datacenter.message.MessageApplication] 50 - Starting MessageApplication on LAPTOP-5PHM8H68 with PID 15048 (C:\Users\Lenovo\Downloads\message\target\classes started by Lenovo in C:\Users\Lenovo\Downloads\message)
2019-05-23 13:57:30.751 INFO  [main] [cn.aijson.datacenter.message.MessageApplication] 679 - The following profiles are active: dev
2019-05-23 13:57:35.955 INFO  [main] [org.springframework.boot.web.embedded.tomcat.TomcatWebServer] 90 - Tomcat initialized with port(s): 8080 (http)
2019-05-23 13:57:35.986 INFO  [main] [org.apache.coyote.http11.Http11NioProtocol] 173 - Initializing ProtocolHandler ["http-nio-8080"]
2019-05-23 13:57:36.002 INFO  [main] [org.apache.catalina.core.StandardService] 173 - Starting service [Tomcat]
2019-05-23 13:57:36.003 INFO  [main] [org.apache.catalina.core.StandardEngine] 173 - Starting Servlet engine: [Apache Tomcat/9.0.19]
2019-05-23 13:57:36.270 INFO  [main] [org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]] 173 - Initializing Spring embedded WebApplicationContext
2019-05-23 13:57:36.271 INFO  [main] [org.springframework.web.context.ContextLoader] 296 - Root WebApplicationContext: initialization completed in 5166 ms
2019-05-23 13:57:37.332 INFO  [main] [com.zaxxer.hikari.HikariDataSource] 110 - RealtimeHikariCP - Starting...
2019-05-23 13:57:37.843 INFO  [main] [com.zaxxer.hikari.HikariDataSource] 123 - RealtimeHikariCP - Start completed.
2019-05-23 13:57:39.054 INFO  [main] [org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor] 171 - Initializing ExecutorService 'applicationTaskExecutor'
2019-05-23 13:57:39.504 INFO  [main] [org.apache.coyote.http11.Http11NioProtocol] 173 - Starting ProtocolHandler ["http-nio-8080"]
2019-05-23 13:57:39.551 INFO  [main] [org.springframework.boot.web.embedded.tomcat.TomcatWebServer] 204 - Tomcat started on port(s): 8080 (http) with context path ''
2019-05-23 13:57:39.557 INFO  [main] [cn.aijson.datacenter.message.MessageApplication] 59 - Started MessageApplication in 10.042 seconds (JVM running for 12.682)
2019-05-23 13:58:34.319 INFO  [http-nio-8080-exec-1] [org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]] 173 - Initializing Spring DispatcherServlet 'dispatcherServlet'
2019-05-23 13:58:34.320 INFO  [http-nio-8080-exec-1] [org.springframework.web.servlet.DispatcherServlet] 524 - Initializing Servlet 'dispatcherServlet'
2019-05-23 13:58:34.345 INFO  [http-nio-8080-exec-1] [org.springframework.web.servlet.DispatcherServlet] 546 - Completed initialization in 25 ms
2019-05-23 14:01:54.349 INFO  [main] [cn.aijson.datacenter.message.MessageApplication] 50 - Starting MessageApplication on LAPTOP-5PHM8H68 with PID 10936 (C:\Users\Lenovo\Downloads\message\target\classes started by Lenovo in C:\Users\Lenovo\Downloads\message)
2019-05-23 14:01:54.366 INFO  [main] [cn.aijson.datacenter.message.MessageApplication] 679 - The following profiles are active: dev
2019-05-23 14:01:58.151 INFO  [main] [org.springframework.boot.web.embedded.tomcat.TomcatWebServer] 90 - Tomcat initialized with port(s): 8080 (http)
2019-05-23 14:01:58.193 INFO  [main] [org.apache.coyote.http11.Http11NioProtocol] 173 - Initializing ProtocolHandler ["http-nio-8080"]
2019-05-23 14:01:58.213 INFO  [main] [org.apache.catalina.core.StandardService] 173 - Starting service [Tomcat]
2019-05-23 14:01:58.214 INFO  [main] [org.apache.catalina.core.StandardEngine] 173 - Starting Servlet engine: [Apache Tomcat/9.0.19]
2019-05-23 14:01:58.443 INFO  [main] [org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]] 173 - Initializing Spring embedded WebApplicationContext
2019-05-23 14:01:58.444 INFO  [main] [org.springframework.web.context.ContextLoader] 296 - Root WebApplicationContext: initialization completed in 3906 ms
2019-05-23 14:01:58.880 INFO  [main] [com.zaxxer.hikari.HikariDataSource] 110 - RealtimeHikariCP - Starting...
2019-05-23 14:01:59.130 INFO  [main] [com.zaxxer.hikari.HikariDataSource] 123 - RealtimeHikariCP - Start completed.
2019-05-23 14:01:59.918 INFO  [main] [org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor] 171 - Initializing ExecutorService 'applicationTaskExecutor'
2019-05-23 14:02:00.370 INFO  [main] [org.apache.coyote.http11.Http11NioProtocol] 173 - Starting ProtocolHandler ["http-nio-8080"]
2019-05-23 14:02:00.421 INFO  [main] [org.springframework.boot.web.embedded.tomcat.TomcatWebServer] 204 - Tomcat started on port(s): 8080 (http) with context path ''
2019-05-23 14:02:00.429 INFO  [main] [cn.aijson.datacenter.message.MessageApplication] 59 - Started MessageApplication in 7.021 seconds (JVM running for 9.639)
2019-05-23 14:02:27.421 INFO  [http-nio-8080-exec-1] [org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]] 173 - Initializing Spring DispatcherServlet 'dispatcherServlet'
2019-05-23 14:02:27.422 INFO  [http-nio-8080-exec-1] [org.springframework.web.servlet.DispatcherServlet] 524 - Initializing Servlet 'dispatcherServlet'
2019-05-23 14:02:27.437 INFO  [http-nio-8080-exec-1] [org.springframework.web.servlet.DispatcherServlet] 546 - Completed initialization in 15 ms
2019-05-23 14:09:33.107 INFO  [main] [cn.aijson.datacenter.message.MessageApplication] 50 - Starting MessageApplication on LAPTOP-5PHM8H68 with PID 13516 (C:\Users\Lenovo\Downloads\message\target\classes started by Lenovo in C:\Users\Lenovo\Downloads\message)
2019-05-23 14:09:33.118 INFO  [main] [cn.aijson.datacenter.message.MessageApplication] 679 - The following profiles are active: dev
2019-05-23 14:09:36.871 INFO  [main] [org.springframework.boot.web.embedded.tomcat.TomcatWebServer] 90 - Tomcat initialized with port(s): 8080 (http)
2019-05-23 14:09:36.919 INFO  [main] [org.apache.coyote.http11.Http11NioProtocol] 173 - Initializing ProtocolHandler ["http-nio-8080"]
2019-05-23 14:09:36.963 INFO  [main] [org.apache.catalina.core.StandardService] 173 - Starting service [Tomcat]
2019-05-23 14:09:36.964 INFO  [main] [org.apache.catalina.core.StandardEngine] 173 - Starting Servlet engine: [Apache Tomcat/9.0.19]
2019-05-23 14:09:37.226 INFO  [main] [org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]] 173 - Initializing Spring embedded WebApplicationContext
2019-05-23 14:09:37.226 INFO  [main] [org.springframework.web.context.ContextLoader] 296 - Root WebApplicationContext: initialization completed in 3937 ms
2019-05-23 14:09:37.687 INFO  [main] [com.zaxxer.hikari.HikariDataSource] 110 - RealtimeHikariCP - Starting...
2019-05-23 14:09:37.946 INFO  [main] [com.zaxxer.hikari.HikariDataSource] 123 - RealtimeHikariCP - Start completed.
2019-05-23 14:09:38.745 INFO  [main] [org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor] 171 - Initializing ExecutorService 'applicationTaskExecutor'
2019-05-23 14:09:39.144 INFO  [main] [org.apache.coyote.http11.Http11NioProtocol] 173 - Starting ProtocolHandler ["http-nio-8080"]
2019-05-23 14:09:39.195 INFO  [main] [org.springframework.boot.web.embedded.tomcat.TomcatWebServer] 204 - Tomcat started on port(s): 8080 (http) with context path ''
2019-05-23 14:09:39.202 INFO  [main] [cn.aijson.datacenter.message.MessageApplication] 59 - Started MessageApplication in 7.303 seconds (JVM running for 10.223)
2019-05-23 14:10:57.600 INFO  [http-nio-8080-exec-2] [org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]] 173 - Initializing Spring DispatcherServlet 'dispatcherServlet'
2019-05-23 14:10:57.602 INFO  [http-nio-8080-exec-2] [org.springframework.web.servlet.DispatcherServlet] 524 - Initializing Servlet 'dispatcherServlet'
2019-05-23 14:10:57.620 INFO  [http-nio-8080-exec-2] [org.springframework.web.servlet.DispatcherServlet] 546 - Completed initialization in 18 ms
